backup	backup	raw	*	
ST307	panacota	raw	KLPN_ST307-1278	9.72016e-06
ST307	roarydefault	raw	gltA_1	3.59275e-05
ST307	panaroodefault	snippy	group_2084	0
ST307	panaroo	snippy	group_2193	8.00652e-06
ST258	panaroo	snippy	group_1022	2.38887e-05
ST258	panacota	raw	KLPN_ST258-12102	1.20596e-05
ST307	panacota	snippy	KLPN_ST307-12853	1.3904e-05
ST307	roarydefault	snippy	glnQ_5	2.47299e-06
ST258	roarydefault	raw	dnaK_1	0.0112
ST307	panaroodefault	raw	group_2077	1.14742e-05
ST307	panaroo	raw	group_218	2.13667e-06
ST258	panaroo	raw	group_1224	0.000156289
ST307	panacota	raw	KLPN_ST307-12792	1.44356e-05
ST258	panaroodefault	snippy	group_1166	8.67081e-06
ST307	roarydefault	raw	gltA_2	4.83232e-06
ST258	roarydefault	snippy	dmlR_21	3.53853e-06
ST258	panaroodefault	raw	group_1057	0.000401033
ST258	panacota	snippy	KLPN_ST258-12072	1.74096e-05
ST307	panaroo	snippy	group_2194	0
ST307	panaroodefault	snippy	group_2085	0
ST307	roarydefault	snippy	glnQ_6	5.58495e-06
ST307	panacota	snippy	KLPN_ST307-12855	0
ST307	panaroo	raw	group_2192	4.02825e-06
ST307	panaroodefault	raw	group_2079	0.000330847
ST307	panacota	raw	KLPN_ST307-1279	2.14994e-06
ST258	panacota	raw	KLPN_ST258-12104	4.51707e-06
ST258	roarydefault	raw	dnaK_2	1.16382e-05
ST307	roarydefault	raw	gltB	7.84188e-06
ST258	panaroo	snippy	group_1023	1.32667e-05
ST307	panaroo	snippy	group_2195	4.00742e-06
ST307	panaroodefault	snippy	group_2086	0
ST307	roarydefault	snippy	glnQ_7	5.62385e-06
ST258	panaroo	raw	group_1227	1.57311e-05
ST307	panaroo	raw	group_2193	1.61632e-05
ST258	panaroodefault	raw	group_1066	0.000476015
ST307	panacota	snippy	KLPN_ST307-12856	5.63665e-06
ST258	panaroodefault	snippy	group_1170	2.02411e-05
ST258	roarydefault	snippy	dmlR_2	1.71631e-06
ST307	panaroodefault	raw	group_2081	1.25251e-06
ST307	panacota	raw	KLPN_ST307-1280	2.68399e-05
ST258	panacota	snippy	KLPN_ST258-12073	0.000120599
ST307	roarydefault	raw	gltC_1	0.000785957
ST307	panaroo	snippy	group_2196	6.5985e-05
ST307	panaroodefault	snippy	group_2087	0
ST258	roarydefault	raw	dnaN	8.62792e-06
ST307	panaroo	raw	group_2194	5.57831e-05
ST307	roarydefault	snippy	glnS	3.70702e-06
ST258	panaroo	snippy	group_1024	3.21502e-05
ST307	panaroodefault	raw	group_2082	1.09055e-05
ST258	panacota	raw	KLPN_ST258-12106	0.00051652
ST307	panacota	snippy	KLPN_ST307-1285	0
ST307	panaroo	snippy	group_2198	5.64452e-06
ST258	panaroo	raw	group_123	4.41883e-05
ST258	panaroodefault	raw	group_1067	3.70273e-06
ST307	roarydefault	raw	gltC_2	1.19186e-05
ST307	panacota	raw	KLPN_ST307-1281	1.53704e-06
ST307	panaroodefault	snippy	group_208	7.11935e-06
ST258	roarydefault	snippy	dmlR_3	5.08331e-06
ST258	panaroodefault	snippy	group_1171	1.92619e-05
ST307	panaroo	raw	group_2195	4.02408e-06
ST307	roarydefault	snippy	gloA	5.05348e-06
ST307	panaroodefault	raw	group_2083	5.16416e-06
ST307	panacota	snippy	KLPN_ST307-12861	3.02757e-05
ST258	panacota	snippy	KLPN_ST258-12074	6.53925e-06
ST258	roarydefault	raw	dnaQ	0
ST307	panaroo	snippy	group_2199	1.07387e-05
ST307	panacota	raw	KLPN_ST307-1282	1.02282e-05
ST307	panaroodefault	snippy	group_2090	1.63345e-06
ST307	roarydefault	raw	gltC_4	4.62069e-06
ST258	panaroo	snippy	group_1025	2.11499e-05
ST307	panaroodefault	raw	group_2084	2.30796e-06
ST307	panaroo	raw	group_2196	6.62717e-05
ST307	roarydefault	snippy	gloB	8.07125e-06
ST258	panacota	raw	KLPN_ST258-12108	0.000263567
ST258	panaroodefault	raw	group_1077	3.71067e-06
ST258	panaroo	raw	group_1249	0.0104942
ST307	panaroo	snippy	group_219	2.11791e-06
ST258	roarydefault	snippy	dmlR_4	0
ST307	panacota	snippy	KLPN_ST307-12862	7.33523e-06
ST258	panaroodefault	snippy	group_1172	2.90431e-06
ST307	roarydefault	raw	gltD	2.9181e-06
ST307	panacota	raw	KLPN_ST307-1283	2.68534e-06
ST307	panaroodefault	snippy	group_2092	1.54283e-06
ST307	panaroo	raw	group_2198	1.71402e-05
ST258	panacota	snippy	KLPN_ST258-12075	3.39698e-06
ST307	panaroodefault	raw	group_2085	0
ST307	roarydefault	snippy	gloC	3.1719e-06
ST258	roarydefault	raw	dnaT_2	2.96059e-06
ST258	panaroo	snippy	group_102	3.29257e-06
ST258	panacota	raw	KLPN_ST258-12109	2.00936e-05
ST307	roarydefault	raw	gltI	4.54503e-06
ST307	panaroo	snippy	group_2203	2.78949e-06
ST307	panacota	snippy	KLPN_ST307-12863	2.56761e-06
ST307	panaroodefault	raw	group_2086	0
ST258	panaroo	raw	group_1269	6.24222e-06
ST307	panaroo	raw	group_2199	1.07741e-05
ST258	roarydefault	snippy	dmlR_5	2.54025e-05
ST307	roarydefault	snippy	glpA	3.77922e-06
ST307	panaroodefault	snippy	group_2094	0
ST258	panaroodefault	raw	group_1080	0.000366684
ST307	panacota	raw	KLPN_ST307-12843	0.000243547
ST258	panacota	snippy	KLPN_ST258-12076	9.47627e-06
ST258	panaroodefault	snippy	group_1173	4.44925e-05
ST258	roarydefault	raw	dnaX	5.86599e-06
ST307	panaroo	snippy	group_2206	2.31823e-06
ST307	roarydefault	raw	gltJ_1	0
ST307	panaroo	raw	group_219	4.25896e-06
ST307	panaroodefault	raw	group_2087	5.0036e-06
ST258	panaroo	snippy	group_1031	5.08464e-06
ST307	panacota	snippy	KLPN_ST307-12864	7.09072e-06
ST258	panacota	raw	KLPN_ST258-12110	8.2306e-06
ST307	panaroodefault	snippy	group_2095	0
ST307	panacota	raw	KLPN_ST307-12844	0
ST307	roarydefault	raw	gltJ_2	2.79695e-06
ST307	roarydefault	snippy	glpB	4.66303e-06
ST258	panaroo	raw	group_1273	1.76213e-05
ST307	panaroo	snippy	group_2207	2.87724e-06
ST307	panaroo	raw	group_2203	0.000107574
ST258	panaroodefault	raw	group_1091	3.72867e-06
ST307	panaroodefault	raw	group_208	7.29982e-06
ST258	roarydefault	snippy	dmlR_6	1.90437e-05
ST307	panacota	snippy	KLPN_ST307-12865	0
ST307	panaroodefault	snippy	group_2101	1.24351e-05
ST258	panacota	snippy	KLPN_ST258-12077	0
ST258	panaroodefault	snippy	group_1174	0.000231907
ST258	roarydefault	raw	doxA	0.000640113
ST307	panaroo	raw	group_2206	9.36518e-06
ST307	panacota	raw	KLPN_ST307-12845	0
ST307	roarydefault	raw	gltK	1.22626e-05
ST307	roarydefault	snippy	glpC	1.55973e-06
ST258	panaroo	snippy	group_1032	2.92105e-06
ST307	panaroo	snippy	group_2208	3.13461e-06
ST258	panacota	raw	KLPN_ST258-12111	6.69633e-06
ST307	panaroodefault	raw	group_2090	3.29418e-06
ST258	panaroo	raw	group_1276	5.51354e-06
ST307	panacota	snippy	KLPN_ST307-12866	0
ST307	panacota	raw	KLPN_ST307-12846	9.15976e-06
ST307	panaroodefault	snippy	group_2107	1.59239e-06
ST258	roarydefault	snippy	dmlR_9	0.000172442
ST307	roarydefault	raw	gltP	1.87859e-05
ST307	roarydefault	snippy	glpD	1.36919e-06
ST307	panaroo	raw	group_2207	5.82368e-06
ST307	panaroo	snippy	group_220	1.06281e-06
ST258	panaroodefault	snippy	group_1175	9.71903e-07
ST258	roarydefault	raw	dpaL	2.21402e-05
ST258	panacota	snippy	KLPN_ST258-12078	1.87878e-06
ST258	panaroo	snippy	group_1033	5.61402e-06
ST307	panaroodefault	raw	group_2092	1.54969e-06
ST258	panaroodefault	raw	group_109	9.61891e-05
ST307	panaroo	snippy	group_2210	4.00895e-05
ST307	panacota	snippy	KLPN_ST307-12867	0
ST307	panaroo	raw	group_2208	4.75846e-06
ST307	roarydefault	raw	gltR_1	7.07841e-06
ST307	roarydefault	snippy	glpE_1	1.52835e-05
ST258	panaroo	raw	group_1285	1.25352e-05
ST307	panacota	raw	KLPN_ST307-12847	3.46084e-05
ST258	panacota	raw	KLPN_ST258-12113	0
ST307	panaroodefault	raw	group_2094	0
ST258	roarydefault	snippy	dmoA	1.58115e-05
ST307	panaroodefault	snippy	group_2108	0
ST258	roarydefault	raw	dppA_1	0.000149646
ST307	panaroo	snippy	group_2211	1.00103e-05
ST307	roarydefault	raw	gltR	2.91987e-05
ST258	panaroodefault	snippy	group_1176	2.92105e-06
ST307	roarydefault	snippy	glpE_2	0
ST258	panaroo	snippy	group_1034	2.3909e-05
ST258	panacota	snippy	KLPN_ST258-12079	6.69832e-06
ST307	panaroo	raw	group_220	1.06612e-06
ST307	panacota	raw	KLPN_ST307-12848	0
ST307	panacota	snippy	KLPN_ST307-12868	6.1154e-05
ST258	panaroo	raw	group_1291	0.000424578
ST258	panaroodefault	raw	group_1113	3.86406e-05
ST307	panaroodefault	raw	group_2095	0
ST258	panacota	raw	KLPN_ST258-12114	0
ST307	panaroodefault	snippy	group_2112	0
ST307	roarydefault	raw	gltS	8.60511e-06
ST307	panaroo	snippy	group_2212	8.91559e-06
ST307	roarydefault	snippy	glpF_1	0
ST307	panaroo	raw	group_2210	4.01121e-05
ST307	panacota	raw	KLPN_ST307-12849	0
ST307	panacota	snippy	KLPN_ST307-12869	2.02929e-06
ST258	roarydefault	snippy	dmsA_1	8.64445e-05
ST258	roarydefault	raw	dppA_2	8.92343e-06
ST307	panaroodefault	raw	group_2101	1.24998e-05
ST258	panaroodefault	snippy	group_1177	1.35506e-05
ST258	panaroo	snippy	group_1035	6.56743e-06
ST258	panacota	snippy	KLPN_ST258-12080	4.31419e-06
ST307	panaroodefault	snippy	group_2113	1.09908e-05
ST307	roarydefault	snippy	glpF_2	1.01938e-05
ST307	panaroo	snippy	group_2215	3.11851e-06
ST307	roarydefault	raw	gltX	0
ST307	panaroo	raw	group_2211	1.00645e-05
ST307	panacota	snippy	KLPN_ST307-1286	1.21094e-05
ST307	panacota	raw	KLPN_ST307-1284	7.73334e-06
ST258	panaroo	raw	group_1292	0.000323375
ST258	panacota	raw	KLPN_ST258-12115	6.6379e-06
ST258	panaroodefault	raw	group_111	0.000132971
ST307	panaroodefault	raw	group_2107	1.66297e-06
ST307	roarydefault	snippy	glpG	2.4706e-06
ST258	roarydefault	snippy	dmsC_1	1.84447e-06
ST307	panaroo	snippy	group_2216	6.21463e-06
ST307	panaroodefault	snippy	group_2114	0
ST307	roarydefault	raw	gluQ	0
ST307	panaroo	raw	group_2212	9.44264e-06
ST258	roarydefault	raw	dppB_1	9.38414e-06
ST258	panaroo	snippy	group_1036	1.34025e-05
ST258	panacota	snippy	KLPN_ST258-12081	2.42372e-06
ST307	panacota	snippy	KLPN_ST307-12870	0
ST307	panacota	raw	KLPN_ST307-12850	4.45466e-05
ST258	panaroodefault	snippy	group_1178	3.89797e-06
ST307	panaroodefault	raw	group_2108	0
ST307	roarydefault	snippy	glpK	1.74877e-05
ST307	roarydefault	raw	glvR	5.6337e-06
ST307	panaroo	raw	group_2215	0.000204248
ST307	panaroo	snippy	group_2218	2.00957e-06
ST258	panaroo	raw	group_129	1.71372e-05
ST258	panaroodefault	raw	group_114	0.00153578
ST258	panacota	raw	KLPN_ST258-12116	3.57941e-06
ST307	panaroodefault	snippy	group_2115	1.03894e-05
ST307	panacota	snippy	KLPN_ST307-12871	2.37309e-06
ST307	panacota	raw	KLPN_ST307-12851	2.26978e-06
ST307	panaroodefault	raw	group_2112	0
ST258	roarydefault	snippy	dmsC_2	0
ST258	panaroo	snippy	group_1037	0
ST258	roarydefault	raw	dppB_2	1.56612e-06
ST307	panaroo	raw	group_2216	6.23399e-06
ST258	panacota	snippy	KLPN_ST258-12082	2.02332e-05
ST307	roarydefault	raw	glyA	9.87192e-06
ST307	roarydefault	snippy	glpP	3.74292e-06
ST258	panaroodefault	snippy	group_117	7.88347e-06
ST307	panaroo	snippy	group_2219	1.85436e-06
ST307	panaroodefault	snippy	group_2116	0
ST307	panacota	snippy	KLPN_ST307-12872	4.89558e-06
ST307	panacota	raw	KLPN_ST307-12852	2.84986e-05
ST258	panacota	raw	KLPN_ST258-12117	3.60361e-06
ST307	panaroodefault	raw	group_2113	1.22493e-05
ST258	panaroo	raw	group_1302	2.61035e-05
ST307	roarydefault	raw	glyQ	1.13367e-05
ST258	panaroodefault	raw	group_1156	5.71079e-06
ST307	panaroo	snippy	group_2220	2.40992e-06
ST307	panaroo	raw	group_2218	2.01793e-06
ST307	roarydefault	snippy	glpQ	1.92507e-06
ST307	panaroodefault	snippy	group_2117	8.71317e-06
ST258	panaroo	snippy	group_1038	1.76767e-05
ST258	roarydefault	snippy	dmsD	0.000622302
ST258	roarydefault	raw	dppC	5.30429e-06
ST307	panacota	raw	KLPN_ST307-12853	1.55943e-05
ST258	panaroodefault	snippy	group_1183	6.86604e-06
ST307	panaroodefault	raw	group_2114	5.12891e-08
ST307	panacota	snippy	KLPN_ST307-12873	0
ST307	roarydefault	raw	glyS	3.00057e-06
ST307	panaroo	raw	group_2219	3.80894e-06
ST258	panacota	snippy	KLPN_ST258-12083	2.47647e-06
ST307	roarydefault	snippy	glpR_2	5.53102e-06
ST307	panaroo	snippy	group_2227	3.11345e-05
ST258	panaroo	raw	group_1309	0.000108282
ST258	panacota	raw	KLPN_ST258-12118	6.37325e-06
ST307	panaroodefault	snippy	group_2118	0
ST258	panaroodefault	raw	group_1157	5.5375e-05
ST307	roarydefault	raw	gmhA	0
ST307	panacota	raw	KLPN_ST307-12855	0
ST307	panacota	snippy	KLPN_ST307-12874	0
ST307	panaroodefault	raw	group_2115	1.01108e-05
ST307	panaroo	raw	group_2220	7.30767e-06
ST258	panaroo	snippy	group_1039	0
ST258	roarydefault	raw	dppD_2	8.11579e-06
ST307	roarydefault	snippy	glpR_3	7.99929e-06
ST307	panaroo	snippy	group_2228	0.000110401
ST258	roarydefault	snippy	dnaA	0.000168575
ST258	panaroodefault	snippy	group_1184	7.89013e-06
ST307	panaroodefault	snippy	group_2119	1.91178e-06
ST307	roarydefault	raw	gmhB	3.65149e-06
ST307	panacota	snippy	KLPN_ST307-12875	4.90909e-06
ST258	panaroo	raw	group_1317	0.00146067
ST307	panaroodefault	raw	group_2116	0
ST307	panacota	raw	KLPN_ST307-12856	1.00718e-05
ST258	panacota	snippy	KLPN_ST258-12084	4.01094e-06
ST258	panacota	raw	KLPN_ST258-12119	6.09279e-06
ST307	panaroo	raw	group_2227	3.15949e-05
ST307	roarydefault	snippy	glpR_4	8.141e-06
ST258	panaroodefault	raw	group_1158	1.05127e-05
ST307	panaroo	snippy	group_2233	5.6365e-05
ST307	panaroodefault	snippy	group_211	0
ST258	roarydefault	snippy	dnaB_1	8.16089e-06
ST307	roarydefault	raw	gmk	0
ST307	panacota	raw	KLPN_ST307-1285	0
ST307	panaroodefault	raw	group_2117	3.10645e-05
ST258	panaroo	snippy	group_1041	0
ST307	panaroo	snippy	group_2234	2.98659e-06
ST307	panacota	snippy	KLPN_ST307-12876	0
ST307	roarydefault	snippy	glpT_1	2.98228e-06
ST258	panaroodefault	snippy	group_1185	1.28249e-05
ST258	roarydefault	raw	dps	9.50859e-06
ST307	panaroo	raw	group_2228	0.000127804
ST307	panacota	raw	KLPN_ST307-12861	3.25024e-05
ST258	roarydefault	snippy	dnaB_2	3.37811e-06
ST307	roarydefault	raw	gmuB	1.32137e-05
ST258	panacota	snippy	KLPN_ST258-12085	9.63619e-06
ST307	panacota	snippy	KLPN_ST307-12877	0
ST307	panaroo	snippy	group_2236	6.05537e-06
ST307	panaroo	raw	group_2233	5.31796e-05
ST307	panaroodefault	raw	group_2118	0
ST307	panaroodefault	snippy	group_2120	3.1963e-05
ST307	panacota	raw	KLPN_ST307-12862	7.57716e-06
ST307	roarydefault	snippy	glpT_2	9.1757e-05
ST258	roarydefault	raw	dsbA_1	9.97435e-06
ST258	panaroo	snippy	group_1047	4.96531e-06
ST307	roarydefault	raw	gmuD_1	2.79994e-05
ST258	panacota	raw	KLPN_ST258-12120	2.99625e-06
ST307	panaroo	snippy	group_2237	8.01996e-06
ST307	panaroo	raw	group_2234	2.99746e-06
ST307	panacota	snippy	KLPN_ST307-12878	5.43017e-06
ST258	panaroo	raw	group_132	8.35061e-05
ST258	panaroodefault	snippy	group_1187	4.9521e-06
ST307	panaroodefault	raw	group_2119	1.97895e-06
ST307	panaroodefault	snippy	group_2122	9.48695e-06
ST258	roarydefault	snippy	dnaC	0
ST258	panacota	snippy	KLPN_ST258-12086	1.60157e-05
ST307	roarydefault	snippy	glpX	0
ST307	panacota	raw	KLPN_ST307-12863	2.66623e-06
ST258	panaroodefault	raw	group_1159	1.9154e-06
ST307	panaroo	raw	group_2236	6.14144e-06
ST307	panaroo	snippy	group_2238	4.53337e-06
ST307	panaroodefault	raw	group_211	0
ST258	panaroo	snippy	group_1048	5.40532e-06
ST258	roarydefault	raw	dsbA_2	5.1159e-06
ST307	panacota	snippy	KLPN_ST307-12879	0
ST307	panacota	raw	KLPN_ST307-12864	7.38104e-06
ST307	roarydefault	raw	gmuD_2	3.81286e-05
ST258	panaroo	raw	group_1344	5.3019e-06
ST307	panaroodefault	snippy	group_2126	0.000157167
ST307	panaroo	snippy	group_2239	1.43632e-05
ST307	panaroodefault	raw	group_2120	3.20994e-05
ST307	panaroo	raw	group_2237	1.01254e-05
ST307	panacota	snippy	KLPN_ST307-12880	1.22932e-06
ST258	panaroo	snippy	group_1049	0
ST307	roarydefault	snippy	glrK	0
ST258	panacota	raw	KLPN_ST258-12121	1.7792e-05
ST258	roarydefault	raw	dsbB	0
ST307	panaroodefault	snippy	group_2129	0
ST307	panaroo	raw	group_2238	4.5903e-06
ST258	panacota	snippy	KLPN_ST258-12087	1.93554e-05
ST258	panaroodefault	raw	group_1160	7.69843e-06
ST307	panacota	snippy	KLPN_ST307-12881	0
ST307	panaroo	snippy	group_223	3.19656e-06
ST307	roarydefault	raw	gmuR	0
ST307	panaroodefault	raw	group_2122	2.35819e-05
ST307	roarydefault	snippy	glsA2	8.85666e-06
ST307	panaroodefault	snippy	group_2130	0
ST258	panaroo	snippy	group_104	3.10472e-05
ST258	roarydefault	snippy	dnaE	9.13874e-06
ST258	roarydefault	raw	dsbC	0.000116154
ST307	panacota	raw	KLPN_ST307-12865	0
ST258	panaroo	raw	group_134	0.000148558
ST258	panacota	raw	KLPN_ST258-12122	1.10054e-05
ST307	panaroo	raw	group_2239	3.6095e-05
ST307	panaroo	snippy	group_2240	1.19168e-05
ST307	panaroodefault	snippy	group_2131	8.72837e-06
ST258	panaroodefault	snippy	group_1188	7.93321e-06
ST307	roarydefault	raw	gnd	2.76753e-05
ST307	panacota	snippy	KLPN_ST307-12882	0
ST307	panacota	raw	KLPN_ST307-12866	0
ST307	panaroo	raw	group_223	3.21986e-06
ST307	roarydefault	snippy	gltA_1	4.52648e-05
ST258	panacota	snippy	KLPN_ST258-12088	3.71234e-05
ST258	panaroodefault	raw	group_1161	6.72349e-06
ST307	roarydefault	raw	gntK	0
ST307	panacota	snippy	KLPN_ST307-12883	5.4764e-05
ST307	panaroodefault	snippy	group_2135	5.82466e-06
ST258	panaroo	raw	group_1351	1.06284e-06
ST258	panaroo	snippy	group_1050	0
ST307	panacota	raw	KLPN_ST307-12867	0
ST307	roarydefault	snippy	gltA_2	4.73721e-06
ST307	panaroo	raw	group_2240	1.82292e-05
ST258	roarydefault	raw	dsbD_1	0.000149645
ST258	panacota	raw	KLPN_ST258-12123	2.30069e-06
ST258	panaroodefault	snippy	group_1189	8.91474e-06
ST307	panaroo	snippy	group_2241	0.000125896
ST258	panacota	snippy	KLPN_ST258-12089	1.17901e-05
ST307	panaroodefault	snippy	group_2136	8.0996e-06
ST258	roarydefault	snippy	dnaG	4.56728e-06
ST307	panacota	snippy	KLPN_ST307-12884	0
ST307	roarydefault	raw	gntR_1	2.73716e-05
ST307	panaroo	raw	group_2241	0.000129077
ST258	panaroodefault	raw	group_1163	9.6469e-06
ST258	panaroo	raw	group_1352	8.47718e-06
ST307	panaroodefault	snippy	group_2137	5.72938e-06
ST307	roarydefault	snippy	gltB	7.17448e-06
ST307	panaroo	snippy	group_2242	6.16466e-06
ST307	panacota	raw	KLPN_ST307-12868	6.16737e-05
ST307	panaroo	raw	group_2242	6.24831e-06
ST258	panaroodefault	snippy	group_118	5.29572e-05
ST258	roarydefault	raw	dsbD_2	3.55864e-06
ST258	panacota	snippy	KLPN_ST258-12091	0
ST307	panaroodefault	raw	group_2126	0.000209938
ST307	panaroodefault	snippy	group_2138	1.91913e-06
ST307	panaroo	snippy	group_2243	0.000169594
ST258	panaroo	snippy	group_1051	0
ST307	roarydefault	snippy	gltC_1	0.00075764
ST258	panaroodefault	raw	group_1164	4.83195e-06
ST307	panaroo	raw	group_2243	0.000168542
ST307	panacota	raw	KLPN_ST307-12869	2.04472e-06
ST307	panaroo	snippy	group_2244	2.07326e-05
ST258	roarydefault	raw	dsbE	2.67272e-05
ST307	panacota	snippy	KLPN_ST307-12889	0
ST258	roarydefault	snippy	dnaJ_1	1.12199e-05
ST307	roarydefault	snippy	gltC_2	9.42794e-06
ST307	panaroo	raw	group_2244	7.1638e-06
ST307	panaroodefault	snippy	group_2139	1.89112e-06
ST258	panacota	snippy	KLPN_ST258-12092	7.83731e-06
ST307	roarydefault	raw	gntR_2	2.67861e-05
ST307	panaroodefault	raw	group_2129	0
ST307	panacota	raw	KLPN_ST307-1286	1.21535e-05
ST307	panaroo	snippy	group_2245	1.798e-05
ST258	panaroo	snippy	group_1061	3.64292e-06
ST307	panacota	snippy	KLPN_ST307-1288	2.06527e-05
ST258	panaroodefault	raw	group_1165	3.87259e-06
ST258	panaroo	raw	group_1355	1.67181e-05
ST258	roarydefault	raw	dsbG	2.43189e-05
ST307	roarydefault	snippy	gltC_4	6.83122e-06
ST307	panaroo	raw	group_2245	2.02048e-05
ST307	panaroodefault	snippy	group_2140	1.08294e-06
ST307	roarydefault	raw	gntT	1.57205e-06
ST307	panaroo	snippy	group_2246	1.15987e-05
ST258	panacota	raw	KLPN_ST258-12125	4.80579e-06
ST258	panaroodefault	snippy	group_1194	2.9883e-06
ST307	panacota	raw	KLPN_ST307-12870	0
ST307	panacota	snippy	KLPN_ST307-12890	3.63054e-06
ST307	panaroodefault	snippy	group_2141	1.92507e-06
ST307	roarydefault	raw	gntU	0
ST307	panaroo	raw	group_2246	2.05593e-05
ST258	roarydefault	snippy	dnaK_1	0.0113321
ST258	panaroodefault	raw	group_1166	8.70013e-06
ST258	panaroo	snippy	group_1093	8.91474e-06
ST258	panaroo	raw	group_1356	1.06496e-05
ST307	panaroo	snippy	group_2248	0
ST307	panaroodefault	raw	group_2130	0
ST258	panacota	snippy	KLPN_ST258-12093	1.79686e-05
ST307	roarydefault	snippy	gltD	1.4515e-06
ST307	panacota	raw	KLPN_ST307-12871	2.39792e-06
ST307	panacota	snippy	KLPN_ST307-12891	2.87617e-05
ST258	roarydefault	raw	dsdA	5.49818e-05
ST307	panaroodefault	snippy	group_2142	4.67836e-05
ST307	roarydefault	raw	gor	7.65112e-06
ST258	panaroodefault	snippy	group_1197	6.00953e-06
ST307	panaroo	raw	group_2248	2.89416e-05
ST307	panaroo	snippy	group_2249	2.45422e-06
ST258	panacota	raw	KLPN_ST258-12126	1.72043e-06
ST307	panaroodefault	raw	group_2131	1.35087e-05
ST307	roarydefault	snippy	gltI	4.47688e-06
ST258	roarydefault	snippy	dnaK_2	1.07884e-05
ST258	panaroo	snippy	group_1094	4.9521e-06
ST307	panacota	raw	KLPN_ST307-12872	5.79502e-06
ST307	panacota	snippy	KLPN_ST307-12892	2.00226e-06
ST258	panaroo	raw	group_1359	1.81185e-05
ST307	panaroodefault	snippy	group_2143	3.21152e-05
ST307	roarydefault	raw	gph	5.43411e-06
ST307	panaroo	snippy	group_2250	0
ST258	panaroodefault	raw	group_1170	2.12434e-05
ST307	panaroodefault	raw	group_2135	2.73888e-05
ST258	panacota	snippy	KLPN_ST258-12094	1.98953e-06
ST307	roarydefault	snippy	gltJ_1	0
ST307	panaroo	raw	group_2249	2.48248e-06
ST307	panacota	snippy	KLPN_ST307-12893	3.72483e-06
ST307	panacota	raw	KLPN_ST307-12873	0
ST258	roarydefault	snippy	dnaN	8.67992e-06
ST307	panaroodefault	snippy	group_2146	5.81431e-05
ST307	roarydefault	raw	gpmA	0
ST307	panaroo	snippy	group_2251	3.08939e-06
ST258	panaroodefault	snippy	group_1199	3.01003e-06
ST307	panaroodefault	raw	group_2136	1.35965e-05
ST258	panaroo	raw	group_1363	1.07441e-06
ST307	roarydefault	snippy	gltJ_2	0
ST258	panacota	raw	KLPN_ST258-12127	6.61156e-06
ST307	panaroo	raw	group_2250	0
ST258	panacota	snippy	KLPN_ST258-12095	1.24955e-05
ST307	panacota	raw	KLPN_ST307-12874	0
ST307	panaroodefault	snippy	group_214	4.19287e-06
ST258	panaroo	snippy	group_109	1.56922e-05
ST307	roarydefault	raw	gpmI	5.35189e-06
ST258	roarydefault	raw	dsdC_1	7.48836e-06
ST307	panaroodefault	raw	group_2137	5.79541e-06
ST307	panacota	snippy	KLPN_ST307-12894	0
ST258	panaroodefault	raw	group_1171	2.03231e-05
ST307	panaroo	snippy	group_2252	8.97726e-06
ST307	roarydefault	snippy	gltK	9.14459e-06
ST258	roarydefault	snippy	dnaQ	0
ST258	panaroodefault	snippy	group_1206	9.13064e-06
ST307	panacota	raw	KLPN_ST307-12875	4.9295e-06
ST307	roarydefault	raw	gppA	1.77419e-05
ST258	panaroo	raw	group_1364	8.56951e-06
ST307	panaroodefault	snippy	group_2152	5.37652e-06
ST307	panacota	snippy	KLPN_ST307-12895	6.22376e-06
ST307	panaroodefault	raw	group_2138	1.93514e-06
ST307	panaroo	snippy	group_2253	2.56024e-06
ST307	roarydefault	snippy	gltP	1.7095e-05
ST307	panaroo	raw	group_2251	3.10547e-06
ST258	panacota	snippy	KLPN_ST258-12096	2.84519e-05
ST258	roarydefault	raw	dsdC_2	1.72883e-06
ST307	panacota	raw	KLPN_ST307-12876	0
ST258	panacota	raw	KLPN_ST258-12128	8.58319e-06
ST258	panaroo	snippy	group_1113	1.83771e-05
ST307	roarydefault	raw	gpr	1.0399e-05
ST258	panaroodefault	raw	group_1172	3.87809e-06
ST307	panaroodefault	raw	group_2139	3.87028e-06
ST307	panacota	snippy	KLPN_ST307-12896	0
ST307	panaroo	snippy	group_2257	0
ST307	roarydefault	snippy	gltR_1	6.97356e-06
ST307	panacota	snippy	KLPN_ST307-12897	0
ST307	panaroodefault	snippy	group_2153	0
ST307	panaroo	raw	group_2252	9.04297e-06
ST307	panaroodefault	raw	group_2140	1.09198e-06
ST258	roarydefault	raw	dsdX	4.78515e-06
ST307	panaroo	snippy	group_2258	3.52148e-06
ST307	panacota	raw	KLPN_ST307-12877	0
ST258	panacota	snippy	KLPN_ST258-12098	1.80238e-05
ST258	panaroo	snippy	group_112	0
ST307	roarydefault	snippy	gltR	2.63955e-05
ST258	panaroodefault	snippy	group_1210	3.05305e-06
ST307	panacota	snippy	KLPN_ST307-12898	0
ST307	roarydefault	raw	gpsA	1.21535e-05
ST258	roarydefault	snippy	dnaT_2	2.94878e-06
ST307	panaroodefault	raw	group_2141	1.94522e-06
ST258	panaroo	raw	group_1365	1.18022e-05
ST258	panacota	raw	KLPN_ST258-12129	9.04781e-06
ST307	panaroo	snippy	group_2259	4.96989e-06
ST307	panaroodefault	snippy	group_2154	1.14267e-05
